spec_id,iteration_idx,direction,threshold,n_regimes,signal_duty_cycle,mean_duration_ticks,wr,expectancy_bps,net_exp_bps_at_23fee,deployable_at_28,n_sessions,elapsed_sec
iter000_ask_wall_reversion,0,long_if_neg,2.0,6375,0.12850100166910886,19.775372549019608,0.45931558935361216,-0.24981273614737523,-23.249812736147376,False,6,113.18835973739624
iter000_full_book_consensus,0,long_if_pos,0.5,4996,0.24857595871859722,47.729183346677345,0.9750105887335875,3.839566486712215,-19.160433513287785,False,6,35.43087315559387
iter000_trade_flow_exhaustion,0,long_if_neg,2.5,11132,0.0249500184437547,2.1995149119655046,0.5070603337612324,0.012522559146993165,-22.987477440853006,False,6,112.26532363891602
iter000_trade_flow_plus_obi,0,long_if_pos,2.5,13276,0.030041921329743763,2.2206990057246156,0.49393203883495146,-0.004412629923199835,-23.0044126299232,False,6,114.04617857933044
iter001_ask_wall_reversion_tight,1,long_if_neg,2.5,4396,0.06697834234461901,14.94358507734304,0.4675925925925926,-0.2208023556993358,-23.220802355699337,False,6,112.3437328338623
iter001_full_book_consensus_tight_h20,1,long_if_pos,0.5,4499,0.19624053101709665,41.58613025116693,0.9797608095676172,3.9152478205613175,-19.08475217943868,False,6,33.9228138923645
iter001_trade_flow_exhaustion_tight_h1,1,long_if_neg,3.0,9073,0.019722589625438932,2.133252507439656,0.5107604017216643,0.01799153183483667,-22.982008468165162,False,6,111.46782398223877
iter001_trade_flow_obi_inverted_h100,1,long_if_neg,2.5,13276,0.030041921329743763,2.2206990057246156,0.5060679611650486,0.004412629923199835,-22.9955873700768,False,6,113.70352458953857
iter002_deep_book_divergence,2,long_if_neg,0.6,7536,0.4403115262257964,56.589171974522294,0.7826757090012331,1.9418105158949543,-21.058189484105046,False,6,49.65371012687683
iter002_spread_discounted_obi,2,long_if_pos,0.4,2600,0.03564841516178536,13.455,0.46942148760330576,-0.000673408441342557,-23.000673408441344,False,6,29.62530779838562
iter003_ask_wall_neutral_bbo,3,long_if_neg,0.5,1682,0.030769481598023972,17.95243757431629,0.5958904109589042,0.17345274791225482,-22.826547252087746,False,6,111.62728214263916
iter003_obi1_baseline,3,long_if_pos,0.4,7070,0.49534626366213486,67.05091937765205,0.4956807897984369,0.1047448639858889,-22.89525513601411,False,6,28.562681913375854
iter003_obi_shape_modulated,3,long_if_pos,0.4,7065,0.43125370658329953,59.86978060863411,0.4887550200803213,0.04570674558983971,-22.95429325441016,False,6,29.28751492500305
iter003_trifecta_consensus,3,long_if_pos,0.5,2517,0.05110754237478117,19.926499801350815,0.9567307692307693,1.1855885237925519,-21.814411476207447,False,6,40.117151737213135
iter004_ask_wall_reversion_flow_confirm,4,long_if_neg,0.5,2664,0.007158418605978222,2.637012012012012,0.6818181818181818,0.10255964375809394,-22.897440356241905,False,6,116.5688591003418
iter004_deep_book_vs_bbo_divergence,4,long_if_neg,0.8,6788,0.30642718996659746,44.119328226281674,0.8172604422604423,2.4096513944613207,-20.59034860553868,False,6,49.11233878135681
iter004_obi1_baseline_tight,4,long_if_pos,0.6,6952,0.3109545712998873,42.44505178365938,0.5104947526236882,0.2165631655742087,-22.783436834425792,False,6,28.15888810157776
iter004_obi_shape_modulated_tight,4,long_if_pos,0.5,6954,0.329743764278625,46.50014380212827,0.4904507257448434,0.0899041752012338,-22.910095824798766,False,6,29.052261114120483
iter005_ask_wall_reversion_low_vol,5,long_if_neg,0.5,477,0.009656986922257027,19.867924528301888,0.8181818181818182,0.21838470129437845,-22.78161529870562,False,6,113.08652591705322
iter005_bbo_divergence_snapback,5,long_if_pos,0.8,6788,0.30642718996659746,44.119328226281674,0.18273955773955775,-2.4096513944613207,-25.40965139446132,False,6,49.125486850738525
iter005_flow_book_disagreement,5,long_if_neg,0.5,551,0.0010699415710003037,1.9056261343012704,0.85,0.5678870720881677,-22.43211292791183,False,6,112.46331214904785
iter005_obi1_long_horizon,5,long_if_pos,0.6,6952,0.3109545712998873,42.44505178365938,0.5104947526236882,0.2165631655742087,-22.783436834425792,False,6,28.751293182373047
iter006_ask_wall_momentum_filtered,6,long_if_neg,0.5,1840,0.0279540067783346,14.909239130434782,0.9183673469387755,0.9103947693947471,-22.089605230605255,False,6,111.55666875839233
iter006_bbo_divergence_thin_book,6,long_if_pos,0.5,1353,0.02445784532109456,17.716186252771617,0.9789473684210527,3.606762252139822,-19.393237747860177,False,6,49.14191675186157
iter007_ask_wall_reversion_long_h,7,long_if_neg,0.5,1840,0.0279540067783346,14.909239130434782,0.9183673469387755,0.9103947693947471,-22.089605230605255,False,6,111.69170308113098
iter007_bbo_divergence_low_vol,7,long_if_pos,0.5,230,0.011767319297058577,50.20434782608696,0.972972972972973,4.7232743414288745,-18.276725658571124,False,6,50.40586066246033
iter007_flow_exhaustion_momentum_confirm,7,long_if_neg,0.5,4404,0.010303027832746734,2.2958673932788374,0.8536585365853658,0.3554722521466345,-22.644527747853367,False,6,110.94203019142151
iter007_obi_deep_book_consensus,7,long_if_pos,0.5,3984,0.1519826526806622,36.53413654618474,0.9801223241590215,3.9213988663740196,-19.07860113362598,False,6,32.329540967941284
iter008_bbo_divergence_tight,8,long_if_pos,0.9,6363,0.24848017347319337,38.162030488763165,0.16773985833869928,-2.5638903109140525,-25.563890310914054,False,6,48.533123254776
iter008_flow_exhaustion_extreme,8,long_if_neg,3.0,9073,0.019722589625438932,2.133252507439656,0.5107604017216643,0.01799153183483667,-22.982008468165162,False,6,110.86312317848206
iter008_trifecta_reversion,8,long_if_neg,0.5,69,0.00012533601260289272,1.7826086956521738,1.0,0.4431490308350445,-22.556850969164955,False,6,112.44516921043396
iter009_bbo_divergence_long_h,9,long_if_pos,0.9,6363,0.24848017347319337,38.162030488763165,0.16773985833869928,-2.5638903109140525,-25.563890310914054,False,6,48.56950044631958
iter009_deep_book_consensus_low_vol,9,long_if_pos,0.5,1012,0.12372498629455797,119.9792490118577,0.975,3.920483702539303,-19.079516297460696,False,6,40.36408066749573
iter009_flow_exhaustion_super_extreme,9,long_if_neg,3.5,7611,0.016016515821888355,2.065168834581527,0.5217391304347826,0.03379104260947223,-22.966208957390528,False,6,111.90638208389282
iter009_wall_meets_flow_reversion,9,long_if_neg,0.5,886,0.0020807816076024955,2.304740406320542,0.975,0.6797029805086681,-22.32029701949133,False,6,113.5417468547821
iter010_ask_wall_reversion_isolated,10,long_if_neg,2.5,4396,0.06697834234461901,14.94358507734304,0.4675925925925926,-0.2208023556993358,-23.220802355699337,False,6,111.739417552948
iter010_bbo_divergence_optimal_h,10,long_if_pos,1.0,5707,0.18838410291003727,32.21464867706326,0.15212142117971714,-2.757597639905349,-25.75759763990535,False,6,49.39180850982666
iter010_deep_book_consensus_unfiltered,10,long_if_pos,0.5,4499,0.19624053101709665,41.58613025116693,0.9797608095676172,3.9152478205613175,-19.08475217943868,False,6,33.21272015571594
iter010_flow_exhaustion_4sigma,10,long_if_neg,4.0,6520,0.013363060725807603,2.0113496932515336,0.5263157894736842,0.040439550291129785,-22.95956044970887,False,6,111.45190715789795
iter011_ask_wall_reversion_extreme,11,long_if_neg,3.0,3169,0.0377047409620507,11.673714105396025,0.4574468085106383,-0.2669092881460154,-23.266909288146014,False,6,112.56684756278992
