spec_id,direction,threshold,sessions,errors,n_regimes,mean_gross_bps,median_gross_bps,std_gross_bps,min_gross_bps,max_gross_bps,p90_gross_bps,p99_gross_bps,n_winners,n_losers,wr,n_above_fee_23bps,frac_above_fee,n_above_deployable_28bps,frac_above_deployable,total_gross_bps,mean_duration_ticks,median_duration_ticks,net_total_bps,mean_net_per_regime_bps
iter000_ask_wall_reversion,long_if_neg,2.0,1,0,1,-15.003750937734434,-15.003750937734434,0.0,-15.003750937734434,-15.003750937734434,-15.003750937734434,,0,1,0.0,0,0.0,0,0.0,-15.003750937734434,187485.0,187485.0,-38.00375093773444,-38.00375093773444
iter000_full_book_consensus,long_if_pos,0.5,1,0,123,10.80608293796615,5.003752814610958,12.048732008572323,0.0,62.0347394540943,24.968789013732835,24.968789013732835,67,56,0.5447154471544715,42,0.34146341463414637,1,0.008130081300813009,1329.1482013698364,223.45528455284554,27.0,-1499.8517986301636,-12.19391706203385
iter000_trade_flow_exhaustion,long_if_neg,2.5,1,0,6,-3.022594072537276,12.391573729863692,46.24363026177347,-92.54627313656827,49.68944099378882,37.267080745341616,,3,3,0.5,3,0.5,1,0.16666666666666666,-18.135564435223657,30173.666666666668,20668.0,-156.13556443522367,-26.022594072537277
