spec_id,direction,threshold,sessions,errors,n_regimes,mean_gross_bps,median_gross_bps,std_gross_bps,min_gross_bps,max_gross_bps,p90_gross_bps,p99_gross_bps,n_winners,n_losers,wr,n_above_fee_23bps,frac_above_fee,n_above_deployable_28bps,frac_above_deployable,total_gross_bps,mean_duration_ticks,median_duration_ticks,net_total_bps,mean_net_per_regime_bps
iter000_ask_wall_reversion,long_if_neg,2.0,6,0,6,102.5695560454253,87.08561796255687,139.0371893241651,-59.55334987593052,304.6953046953047,259.9874528202173,,3,3,0.5,3,0.5,3,0.5,615.4173362725518,163558.0,160378.5,477.4173362725518,79.5695560454253
iter000_full_book_consensus,long_if_pos,0.5,6,0,4998,3.841256275565455,0.0,5.78760037495387,-32.171581769437,118.47065158858373,10.558547762019824,24.645057055878855,2303,2695,0.46078431372549017,52,0.010404161664665866,9,0.001800720288115246,19198.598865276144,48.807723089235694,7.0,-95755.40113472386,-19.158743724434544
iter000_trade_flow_exhaustion,long_if_neg,2.5,6,0,106,4.7714399284757665,0.0,42.76153634013459,-114.83253588516746,120.6636500754148,56.71082571069439,95.80968419933701,51,55,0.4811320754716981,24,0.22641509433962265,21,0.19811320754716982,505.7726324184313,8933.17924528302,6029.5,-1932.2273675815686,-18.228560071524235
iter000_trade_flow_plus_obi,long_if_pos,2.5,6,0,6,-102.5695560454253,-87.08561796255687,139.0371893241651,-304.6953046953047,59.55334987593052,39.364402646498334,,3,3,0.5,1,0.16666666666666666,1,0.16666666666666666,-615.4173362725518,163559.33333333334,160380.0,-753.4173362725518,-125.5695560454253
iter001_ask_wall_reversion_tight,long_if_neg,2.5,6,0,6,102.5695560454253,87.08561796255687,139.0371893241651,-59.55334987593052,304.6953046953047,259.9874528202173,,3,3,0.5,3,0.5,3,0.5,615.4173362725518,163558.0,160378.5,477.4173362725518,79.5695560454253
iter001_full_book_consensus_tight_h20,long_if_pos,0.5,6,0,4500,3.9179610316371765,0.0,5.78561737099608,-32.171581769437,123.92241379310346,10.573618821041501,21.287919105907395,2131,2369,0.47355555555555556,38,0.008444444444444444,9,0.002,17630.824642367294,42.796,7.0,-85869.1753576327,-19.082038968362824
iter001_trade_flow_exhaustion_tight_h1,long_if_neg,3.0,6,0,106,4.7714399284757665,0.0,42.76153634013459,-114.83253588516746,120.6636500754148,56.71082571069439,95.80968419933701,51,55,0.4811320754716981,24,0.22641509433962265,21,0.19811320754716982,505.7726324184313,8933.17924528302,6029.5,-1932.2273675815686,-18.228560071524235
iter001_trade_flow_obi_inverted_h100,long_if_neg,2.5,6,0,6,102.5695560454253,87.08561796255687,139.0371893241651,-59.55334987593052,304.6953046953047,259.9874528202173,,3,3,0.5,3,0.5,3,0.5,615.4173362725518,163559.33333333334,160380.0,477.4173362725518,79.5695560454253
iter002_deep_book_divergence,long_if_neg,0.6,6,0,6,102.5695560454253,87.08561796255687,139.0371893241651,-59.55334987593052,304.6953046953047,259.9874528202173,,3,3,0.5,3,0.5,3,0.5,615.4173362725518,163559.33333333334,160380.0,477.4173362725518,79.5695560454253
iter002_spread_discounted_obi,long_if_pos,0.4,6,0,67,-9.117613147412188,0.0,62.963080178729676,-220.93634928984744,118.08910359634997,55.31849719069923,,31,36,0.4626865671641791,12,0.1791044776119403,12,0.1791044776119403,-610.8800808766166,14645.776119402984,7610.0,-2151.8800808766164,-32.117613147412186
