id,horizon,symbol,paradigm,return_pct,sharpe,mdd_pct,ic_pearson,icir,icir_chunks,information_ratio,n_roundtrips,avg_exposure,bh_ret_matched,beats_bh_absolute
crypto_15m_btc_rvol_compress,15m,BTCUSDT,volatility_regime,-45.251096771770335,-6.792391554782766,-48.39811577649209,-0.016466812492960812,-2.868968304085235,26,-2.433221214901983,242,0.35940346083788705,-17.706221991915424,False
crypto_15m_eth_rvol_compress,15m,ETHUSDT,volatility_regime,-36.492460265699776,-2.9654125937097326,-42.07357066668262,-0.00930999315342182,-1.3132626071608116,26,-2.3902568461265985,255,0.353028233151184,18.935447952765998,False
crypto_15m_sol_rvol_compress,15m,SOLUSDT,volatility_regime,-32.77674085119777,-2.166959813749899,-37.54833956022725,-0.0028502415996584586,-0.17269260084285673,26,-0.8657636534098355,248,0.33931010928961747,-19.43525119462741,False
crypto_1h_btc_rsi_atr,1h,BTCUSDT,mean_reversion,4.3024220304829885,1.3239170943811487,-3.242937031452283,0.018434894164142488,6.871014769848446,8,1.0394734716187644,10,0.03028233151183971,-17.857795373721505,True
crypto_1h_eth_rsi_atr,1h,ETHUSDT,mean_reversion,5.589491951590664,2.022398354693639,-1.232537970745368,0.019387885491392916,0.0,4,-0.6908032757280869,4,0.009107468123861567,18.922466761585813,False
crypto_1h_sol_rsi_atr,1h,SOLUSDT,mean_reversion,-2.7280400099476076,-1.009065938798777,-4.194361134913868,-0.00948862515373583,0.0,2,0.1248929149001896,2,0.00546448087431694,-19.312083225639693,True
crypto_1h_weekly_meanrev_btc,1h,BTCUSDT,mean_reversion,-6.464192807789293,-0.9005693009042429,-14.5834355559084,-0.008516341716865944,4.146551831796844,5,0.5211689296063012,23,0.0441712204007286,,
crypto_1h_weekly_meanrev_eth,1h,ETHUSDT,mean_reversion,8.192781961126405,0.5932892396611505,-28.33457072511133,0.006424376043879717,2.8865370793491905,18,-0.6243257072098869,44,0.26707650273224043,,
crypto_1h_weekly_meanrev_sol,1h,SOLUSDT,mean_reversion,-5.83056112943564,-0.014164681852062249,-30.76648273120287,0.005082292866490506,3.941210702457461,21,0.24281103666697282,63,0.3005464480874317,,
crypto_5m_btc_vol_breakout,5m,BTCUSDT,breakout,-61.10896574165483,-21.3979382625814,-61.10896574165483,-0.00992230548684794,-2.7712135207081645,26,-3.865827248535122,821,0.03115513054037644,-17.522111880832988,False
crypto_5m_eth_vol_breakout,5m,ETHUSDT,breakout,-61.48956299269561,-12.864559335502921,-61.48956299269561,-0.005107554630283089,-1.4136517902017893,26,-3.754355060146216,859,0.03259714632665452,19.319843847997046,False
crypto_5m_sol_vol_breakout,5m,SOLUSDT,breakout,-66.413102045581,-12.729320590984328,-66.45305721929836,-0.010498113596619563,-3.248007146962022,26,-2.652988792575209,845,0.032065877352762596,-19.344391315585415,False
