feature,horizon,BTCUSDT,ETHUSDT,SOLUSDT,ic_avg,ic_min_abs,same_sign
bb_pos_24h,fwd_12h,-0.006794598803629914,0.06461233791629578,0.04253841428757581,0.033452051133413895,0.006794598803629914,False
bb_pos_24h,fwd_168h,0.03466836588447014,0.02965434375992035,0.007693936351935319,0.024005548665441936,0.007693936351935319,True
bb_pos_24h,fwd_1h,0.014372293058471371,0.02690418387412504,0.014898394377150374,0.018724957103248927,0.014372293058471371,True
bb_pos_24h,fwd_24h,0.016673769450160112,0.07634735330309377,0.02858145796340749,0.040534193572220455,0.016673769450160112,True
bb_pos_24h,fwd_3h,0.013353110222722914,0.04047589026788569,0.0269609871540564,0.026929995881555004,0.013353110222722914,True
bb_pos_24h,fwd_48h,0.03582912536355641,0.05899974872553689,-0.018875954192744283,0.02531763996544967,0.018875954192744283,False
bb_pos_24h,fwd_6h,0.012636023994450196,0.05044898282301872,0.044594745676149995,0.03589325083120631,0.012636023994450196,True
bb_pos_24h,fwd_72h,0.04086679822555186,0.049837003464263924,-0.047039196552374665,0.01455486837914704,0.04086679822555186,False
bb_pos_48h,fwd_12h,0.015688390893776816,0.0815166754680977,0.035489458651264655,0.044231508337713055,0.015688390893776816,True
bb_pos_48h,fwd_168h,0.04822707541335657,0.05828325513543644,-0.0058448188093228924,0.03355517057982337,0.0058448188093228924,False
bb_pos_48h,fwd_1h,0.006722425697682982,0.025588101836623328,0.016573974163166923,0.016294833899157746,0.006722425697682982,True
bb_pos_48h,fwd_24h,0.03575539399764419,0.11542162794861796,0.017420327646351562,0.056199116530871236,0.017420327646351562,True
bb_pos_48h,fwd_3h,0.006330386307005547,0.04316147616896604,0.032586504881314315,0.02735945578576197,0.006330386307005547,True
bb_pos_48h,fwd_48h,0.0445832378786476,0.1165266378514046,-0.025835147419229775,0.04509157610360748,0.025835147419229775,False
bb_pos_48h,fwd_6h,0.010733220682947374,0.054660317707483225,0.04287232499987888,0.03608862113010316,0.010733220682947374,True
bb_pos_48h,fwd_72h,0.07338275315446936,0.10639561944260961,-0.026846993521261683,0.05097712635860576,0.026846993521261683,False
close_in_range,fwd_12h,-0.0031697561110680997,-0.027722316661548244,-0.023915204365904615,-0.018269092379506986,0.0031697561110680997,True
close_in_range,fwd_168h,0.02290366214361643,0.02081245857688543,0.004255107815741424,0.015990409512081097,0.004255107815741424,True
close_in_range,fwd_1h,-0.006120994397306693,-0.010522319642670296,-0.025871254892622847,-0.014171522977533277,0.006120994397306693,True
close_in_range,fwd_24h,-0.004322987889361404,-0.0017829600503732484,-0.006530407782649339,-0.004212118574127997,0.0017829600503732484,True
close_in_range,fwd_3h,-0.01570008392086399,-0.03205327154909845,-0.03598629341172683,-0.027913216293896426,0.01570008392086399,True
close_in_range,fwd_48h,0.002253431273622069,0.004372478952305819,-0.01602308855407332,-0.003132392776048477,0.002253431273622069,False
close_in_range,fwd_6h,0.02245453459379717,-0.022370386409147566,-0.02028699500850106,-0.006734282274617152,0.02028699500850106,False
close_in_range,fwd_72h,0.010498329764631659,0.006475430631591352,-0.0219188577373723,-0.0016483657803830962,0.006475430631591352,False
hl_range_mean_12h,fwd_12h,-0.1176344898492788,-0.021869713518133643,-0.09314704257500572,-0.07755041531413938,0.021869713518133643,True
hl_range_mean_12h,fwd_168h,-0.17765742665951226,-0.020300198447178716,-0.10403037589023521,-0.1006626669989754,0.020300198447178716,True
hl_range_mean_12h,fwd_1h,-0.0336651403522986,-0.004389055435739498,-0.018331130853253982,-0.018795108880430695,0.004389055435739498,True
hl_range_mean_12h,fwd_24h,-0.1523005742860816,-0.02618471758421621,-0.13196262375374246,-0.10348263854134676,0.02618471758421621,True
hl_range_mean_12h,fwd_3h,-0.06100574609595132,-0.005242541257590226,-0.04009736636745705,-0.035448551240332866,0.005242541257590226,True
hl_range_mean_12h,fwd_48h,-0.08122904798824206,0.10167980276182112,-0.043306261676381685,-0.007618502300934207,0.043306261676381685,False
hl_range_mean_12h,fwd_6h,-0.08634920827732101,-0.008070052374892292,-0.06091536237550726,-0.05177820767590685,0.008070052374892292,True
hl_range_mean_12h,fwd_72h,-0.10565689821297142,0.058209774045610466,-0.025087912170630403,-0.024178345445997118,0.025087912170630403,False
hl_range_mean_24h,fwd_12h,-0.12552483229031636,-0.022492199606179715,-0.10956094572700477,-0.08585932587450028,0.022492199606179715,True
hl_range_mean_24h,fwd_168h,-0.19864205692897427,-0.024188787705192775,-0.10940967017709087,-0.11074683827041931,0.024188787705192775,True
hl_range_mean_24h,fwd_1h,-0.0416863332442738,-0.01839482973044913,-0.03539411355051632,-0.03182509217507975,0.01839482973044913,True
hl_range_mean_24h,fwd_24h,-0.1213428993195507,0.03260440844528103,-0.09153190865077174,-0.0600901331750138,0.03260440844528103,False
hl_range_mean_24h,fwd_3h,-0.07378284336041963,-0.02763618822268052,-0.06472274608331025,-0.05538059255547013,0.02763618822268052,True
hl_range_mean_24h,fwd_48h,-0.0605260509536443,0.13796028948266953,-0.009076359329264094,0.022785959733253713,0.009076359329264094,False
hl_range_mean_24h,fwd_6h,-0.1025418954119661,-0.031491425884779996,-0.09150387071417525,-0.07517906400364044,0.031491425884779996,True
hl_range_mean_24h,fwd_72h,-0.11794802385259179,0.06158024017066158,-0.013810803130405124,-0.02339286227077844,0.013810803130405124,False
hl_range_mean_48h,fwd_12h,-0.049881350609118025,0.08339432272925794,-0.02480224857027549,0.002903574516621475,0.02480224857027549,False
hl_range_mean_48h,fwd_168h,-0.21049017028205105,-0.041911852435369434,-0.11339191933963957,-0.12193131401902002,0.041911852435369434,True
hl_range_mean_48h,fwd_1h,-0.020445472966419253,0.017698597670113298,-0.012098216480516014,-0.004948363925607323,0.012098216480516014,False
hl_range_mean_48h,fwd_24h,-0.042926735240836685,0.12450110274749816,-0.005816960088192378,0.025252469139489697,0.005816960088192378,False
hl_range_mean_48h,fwd_3h,-0.03463829609014683,0.03478944967417072,-0.01924403581557867,-0.006364294077184928,0.01924403581557867,False
hl_range_mean_48h,fwd_48h,-0.06592072623290308,0.11581289981116624,0.02316593414888506,0.024352702575716072,0.02316593414888506,False
hl_range_mean_48h,fwd_6h,-0.04473056876688369,0.052452152916153884,-0.026093893058303366,-0.006124102969677723,0.026093893058303366,False
hl_range_mean_48h,fwd_72h,-0.14318043366514072,0.04950786452697946,-0.0005976184598857735,-0.031423395866015676,0.0005976184598857735,False
hl_range_z_12h,fwd_12h,0.01437670913024832,0.0019595733493820815,0.034351864366712316,0.01689604894878091,0.0019595733493820815,True
hl_range_z_12h,fwd_168h,0.011996062383740437,0.007302017673644727,0.005254740860027449,0.008184273639137539,0.005254740860027449,True
hl_range_z_12h,fwd_1h,0.0006540302198901559,-0.007638386233900964,0.02916731213005815,0.007394318705349114,0.0006540302198901559,False
hl_range_z_12h,fwd_24h,-0.006739502572203745,-0.028593231255604985,0.004282077795813659,-0.01035021867733169,0.004282077795813659,False
