open_time,open,high,low,close,volume,close_time,quote_volume,n_trades,taker_buy_base,taker_buy_quote,_ignore
1751328000000,2485.47000000,2496.65000000,2477.44000000,2493.35000000,13593.03690000,1751331599999,33823113.11788200,71094,6209.94680000,15454622.82970400,0
1751331600000,2493.35000000,2500.80000000,2486.83000000,2488.78000000,7841.19910000,1751335199999,19557670.05584600,53316,3464.74450000,8643406.46038600,0
1751335200000,2488.79000000,2495.84000000,2482.39000000,2483.54000000,7749.02810000,1751338799999,19278627.13701400,50954,3173.04660000,7895289.32989200,0
1751338800000,2483.55000000,2488.00000000,2478.91000000,2485.42000000,5880.95840000,1751342399999,14609324.04162300,37577,2856.18080000,7095371.55046600,0
1751342400000,2485.43000000,2485.91000000,2459.92000000,2460.90000000,13788.50120000,1751345999999,34086784.30335600,61223,5104.37810000,12615766.27091400,0
1751346000000,2460.90000000,2466.43000000,2451.25000000,2461.54000000,15982.02620000,1751349599999,39299282.56144400,85521,9318.81950000,22916132.93367100,0
1751349600000,2461.54000000,2462.85000000,2456.57000000,2459.67000000,9570.05510000,1751353199999,23536833.76744300,48290,4684.31080000,11519336.35270700,0
1751353200000,2459.67000000,2468.81000000,2445.45000000,2465.03000000,17910.87180000,1751356799999,44037636.97428500,78855,8542.87290000,21010535.03800900,0
1751356800000,2465.03000000,2465.04000000,2451.38000000,2453.22000000,8157.51250000,1751360399999,20043004.14282600,45926,3993.63230000,9812539.59304500,0
1751360400000,2453.22000000,2458.67000000,2450.00000000,2456.86000000,9631.49910000,1751363999999,23637969.75093600,56959,5137.08710000,12608785.31740700,0
1751364000000,2456.85000000,2464.26000000,2440.00000000,2455.94000000,23456.53230000,1751367599999,57567293.32956900,66369,12151.30200000,29856722.97528100,0
1751367600000,2455.95000000,2458.86000000,2442.33000000,2449.06000000,18448.16590000,1751371199999,45237115.12181200,58284,4329.75240000,10611454.86651900,0
1751371200000,2449.05000000,2453.16000000,2434.16000000,2437.35000000,15316.67570000,1751374799999,37399258.24067000,84300,6178.77350000,15088201.01837200,0
1751374800000,2437.36000000,2447.20000000,2423.50000000,2443.47000000,20002.64660000,1751378399999,48760003.24093300,129702,9640.34760000,23507278.13899200,0
1751378400000,2443.47000000,2456.55000000,2406.70000000,2419.94000000,44316.58470000,1751381999999,107544799.39334400,250967,19739.62160000,47924534.17769100,0
1751382000000,2419.94000000,2431.80000000,2416.00000000,2423.54000000,16546.11480000,1751385599999,40088006.32307700,128639,8664.11650000,20991468.76640600,0
1751385600000,2423.54000000,2431.23000000,2419.45000000,2424.58000000,8068.61980000,1751389199999,19579630.52024500,85705,4206.36650000,10207389.22820000,0
1751389200000,2424.58000000,2434.00000000,2418.01000000,2432.26000000,8336.44680000,1751392799999,20226580.09792100,75978,4072.02690000,9880436.46736900,0
1751392800000,2432.26000000,2433.30000000,2400.00000000,2410.14000000,15794.24660000,1751396399999,38135881.61438700,91688,5740.75220000,13858656.47684200,0
1751396400000,2410.14000000,2422.30000000,2402.34000000,2402.87000000,12821.83520000,1751399999999,30937462.89582000,106687,5587.04470000,13479996.28170200,0
1751400000000,2402.87000000,2418.57000000,2393.95000000,2415.08000000,19778.43420000,1751403599999,47575155.23757400,102812,8123.58550000,19551220.04980000,0
1751403600000,2415.08000000,2418.35000000,2404.22000000,2407.08000000,10647.60750000,1751407199999,25652051.84705300,65246,4310.50380000,10385472.92606800,0
1751407200000,2407.07000000,2413.29000000,2399.14000000,2400.66000000,10856.76990000,1751410799999,26120291.51498800,65549,4868.60820000,11713488.09450600,0
1751410800000,2400.66000000,2406.06000000,2386.52000000,2405.01000000,17455.71840000,1751414399999,41809453.10421600,77217,8794.04140000,21071887.00115100,0
1751414400000,2405.01000000,2410.00000000,2397.89000000,2398.44000000,7855.21570000,1751417999999,18890942.23349500,67614,4102.86550000,9869247.99020800,0
1751418000000,2398.44000000,2412.59000000,2373.00000000,2411.30000000,23560.58970000,1751421599999,56339547.65200100,116078,11824.27850000,28294999.34916100,0
1751421600000,2411.31000000,2418.87000000,2407.12000000,2418.10000000,7667.69440000,1751425199999,18509050.17003600,55549,4151.82690000,10023005.40381600,0
1751425200000,2418.10000000,2432.41000000,2416.57000000,2430.55000000,12331.93980000,1751428799999,29923006.86927500,64422,6930.13070000,16814977.79825800,0
1751428800000,2430.55000000,2441.78000000,2425.47000000,2439.56000000,9508.13320000,1751432399999,23131354.08006300,56438,5363.53510000,13049721.06004900,0
1751432400000,2439.55000000,2447.17000000,2433.97000000,2444.22000000,14031.96250000,1751435999999,34262210.16327600,55091,7452.66930000,18201667.93290600,0
1751436000000,2444.22000000,2453.71000000,2438.38000000,2451.51000000,14053.23290000,1751439599999,34378229.95627800,65967,6677.96620000,16340733.89360900,0
1751439600000,2451.52000000,2454.70000000,2441.98000000,2447.03000000,16324.01340000,1751443199999,39954674.91278700,58608,6035.65500000,14771942.98566300,0
1751443200000,2447.03000000,2455.88000000,2444.56000000,2449.15000000,15157.38610000,1751446799999,37139722.46461100,64916,7317.93160000,17931402.05769900,0
1751446800000,2449.16000000,2453.15000000,2445.86000000,2448.61000000,10893.73010000,1751450399999,26682906.75986100,46933,4374.51670000,10715072.85826200,0
1751450400000,2448.61000000,2453.77000000,2443.83000000,2453.45000000,9635.81890000,1751453999999,23602589.01923400,37638,4651.83530000,11396831.43735900,0
1751454000000,2453.44000000,2459.99000000,2441.70000000,2445.70000000,15646.34830000,1751457599999,38364428.71423000,56701,5615.08300000,13775716.03771900,0
1751457600000,2445.69000000,2447.69000000,2431.56000000,2438.50000000,12754.38970000,1751461199999,31119566.91965300,64623,4848.43780000,11827644.77236600,0
1751461200000,2438.50000000,2458.38000000,2436.70000000,2449.63000000,18015.97300000,1751464799999,44106302.16297800,124785,10197.60490000,24964989.90862900,0
1751464800000,2449.63000000,2472.56000000,2448.68000000,2469.66000000,25861.36190000,1751468399999,63661918.99719800,141190,13377.03780000,32926034.71089600,0
1751468400000,2469.65000000,2502.85000000,2469.00000000,2498.81000000,43904.24570000,1751471999999,109316746.52082300,188523,23602.18940000,58783439.33374300,0
1751472000000,2498.82000000,2563.81000000,2495.03000000,2560.69000000,111543.93920000,1751475599999,282963444.87952900,398457,63537.37190000,161135874.51195000,0
1751475600000,2560.70000000,2589.28000000,2552.28000000,2566.87000000,77768.17650000,1751479199999,199729311.31710000,303204,38142.88920000,97974455.08299800,0
1751479200000,2566.87000000,2583.90000000,2563.76000000,2582.38000000,30322.17740000,1751482799999,78046014.71844100,141113,13739.74190000,35367716.65639100,0
1751482800000,2582.38000000,2607.71000000,2567.38000000,2604.73000000,39858.40030000,1751486399999,103098821.16795000,151826,22747.48290000,58858475.31399800,0
1751486400000,2604.73000000,2604.73000000,2586.17000000,2590.06000000,30996.38810000,1751489999999,80469065.29177500,124612,14398.91740000,37379863.81593300,0
1751490000000,2590.06000000,2600.50000000,2583.33000000,2596.89000000,26536.65950000,1751493599999,68749339.99398800,88682,15530.59470000,40233080.65727100,0
1751493600000,2596.90000000,2619.28000000,2592.49000000,2594.87000000,27165.34940000,1751497199999,70685254.74162900,129557,14852.36420000,38642732.54069800,0
1751497200000,2594.86000000,2595.86000000,2569.14000000,2570.41000000,33573.90800000,1751500799999,86754359.54767600,114612,13725.09470000,35463460.56479500,0
1751500800000,2570.41000000,2579.70000000,2562.25000000,2573.60000000,30424.27920000,1751504399999,78232464.42924400,131987,12278.93680000,31581086.29990500,0
1751504400000,2573.60000000,2587.54000000,2565.74000000,2580.13000000,12883.14380000,1751507999999,33216973.57642700,83117,6967.56260000,17962682.99115300,0
1751508000000,2580.13000000,2580.76000000,2556.12000000,2567.37000000,14617.90180000,1751511599999,37494060.37687900,71077,7340.38570000,18826911.60847600,0
1751511600000,2567.37000000,2572.10000000,2560.00000000,2561.23000000,8814.58690000,1751515199999,22617211.68215400,50950,4763.22940000,12222113.51090300,0
1751515200000,2561.22000000,2572.57000000,2559.34000000,2566.68000000,9357.39660000,1751518799999,24019928.16633200,50123,5383.90960000,13821572.61868000,0
1751518800000,2566.68000000,2601.67000000,2565.92000000,2589.62000000,26996.23440000,1751522399999,69829484.45759200,109145,15052.10120000,38944562.99682900,0
1751522400000,2589.63000000,2603.47000000,2585.49000000,2599.59000000,13948.18470000,1751525999999,36220028.38996200,75850,6897.06530000,17908446.41842900,0
1751526000000,2599.59000000,2605.74000000,2589.67000000,2600.18000000,15494.84010000,1751529599999,40232100.28398000,74043,7811.42770000,20287797.07208700,0
1751529600000,2600.19000000,2607.95000000,2587.64000000,2588.37000000,15645.87730000,1751533199999,40635660.91189400,79436,7364.67950000,19132448.06397200,0
1751533200000,2588.37000000,2616.96000000,2586.73000000,2599.35000000,38998.42510000,1751536799999,101539386.99603700,151410,20712.82860000,53929360.27978500,0
1751536800000,2599.36000000,2601.86000000,2584.01000000,2598.21000000,16695.22660000,1751540399999,43296280.61514600,94357,8979.93470000,23289137.46208200,0
1751540400000,2598.21000000,2598.95000000,2581.58000000,2597.59000000,11831.37420000,1751543999999,30668021.76476300,70876,6016.04410000,15596658.02720000,0
1751544000000,2597.58000000,2614.00000000,2565.46000000,2589.07000000,53989.29600000,1751547599999,139721981.14624200,227629,29680.41700000,76844715.42100500,0
1751547600000,2589.06000000,2635.50000000,2586.56000000,2624.68000000,62782.21020000,1751551199999,164221067.98966900,301719,36643.08550000,95822734.65006300,0
1751551200000,2624.69000000,2632.81000000,2584.33000000,2595.17000000,44753.67120000,1751554799999,116629302.89688200,247637,22037.15410000,57455734.16674700,0
1751554800000,2595.17000000,2598.00000000,2565.65000000,2570.52000000,29899.25320000,1751558399999,77099328.52700500,176628,13554.18340000,34949326.91609400,0
1751558400000,2570.52000000,2581.69000000,2565.31000000,2572.12000000,27812.62050000,1751561999999,71582908.42667600,134038,13945.84790000,35893384.23573300,0
1751562000000,2572.05000000,2581.00000000,2572.00000000,2577.41000000,13062.52490000,1751565599999,33652895.92896000,58114,6827.49880000,17593782.83358400,0
1751565600000,2577.41000000,2587.58000000,2574.29000000,2585.49000000,12285.92110000,1751569199999,31728104.91216300,66553,6620.74400000,17100209.80770000,0
1751569200000,2585.50000000,2592.43000000,2582.21000000,2586.02000000,9204.80190000,1751572799999,23822749.09005200,60951,4336.09420000,11222582.19033600,0
1751572800000,2586.02000000,2599.20000000,2585.69000000,2599.19000000,7711.10830000,1751576399999,19999864.50785500,53357,4102.03100000,10639500.71563200,0
1751576400000,2599.20000000,2603.60000000,2589.53000000,2595.52000000,11164.11180000,1751579999999,28987766.33102500,58267,5261.23000000,13666175.00476700,0
1751580000000,2595.52000000,2601.66000000,2590.37000000,2593.68000000,9515.85470000,1751583599999,24700919.36132900,48523,4531.30410000,11766340.31182600,0
1751583600000,2593.69000000,2598.18000000,2585.72000000,2591.25000000,7054.81470000,1751587199999,18280882.20451700,30440,3909.71080000,10134749.65672800,0
1751587200000,2591.26000000,2598.56000000,2581.51000000,2588.53000000,10414.53720000,1751590799999,26985947.11572800,58530,4881.97370000,12651248.28890700,0
1751590800000,2588.53000000,2603.17000000,2587.43000000,2590.09000000,7836.65530000,1751594399999,20332167.15761600,56660,4124.76180000,10703668.48819300,0
1751594400000,2590.09000000,2592.00000000,2571.56000000,2575.18000000,12649.37910000,1751597999999,32647677.47686700,61748,5470.61890000,14116843.89405600,0
1751598000000,2575.18000000,2585.14000000,2571.91000000,2577.93000000,8150.91220000,1751601599999,21029850.44530600,39834,3936.49410000,10156090.83570500,0
1751601600000,2577.93000000,2584.64000000,2569.30000000,2570.31000000,10416.26430000,1751605199999,26829265.42663300,46313,4474.68770000,11528075.79849000,0
1751605200000,2570.31000000,2581.28000000,2564.00000000,2568.86000000,11604.56610000,1751608799999,29862568.72554900,59629,5048.01500000,12991086.13746200,0
1751608800000,2568.85000000,2570.18000000,2548.13000000,2558.75000000,26274.10970000,1751612399999,67187611.46859900,102628,10432.54530000,26677684.97025500,0
1751612400000,2558.75000000,2564.93000000,2530.30000000,2534.90000000,30400.49560000,1751615999999,77338892.94248300,105817,12427.41480000,31615551.25945500,0
1751616000000,2534.90000000,2554.08000000,2527.37000000,2547.00000000,23134.00820000,1751619599999,58786419.79721600,94631,11971.45020000,30426964.97711000,0
1751619600000,2547.00000000,2558.66000000,2546.49000000,2551.47000000,11762.34150000,1751623199999,30027600.52461700,56060,5850.70850000,14934596.78650500,0
1751623200000,2551.47000000,2555.59000000,2545.15000000,2548.12000000,6886.61880000,1751626799999,17567403.01169700,46601,3396.09070000,8664435.03397200,0
1751626800000,2548.12000000,2556.59000000,2547.49000000,2549.21000000,6323.89540000,1751630399999,16138634.22612100,40373,2969.83130000,7579167.15818800,0
1751630400000,2549.20000000,2554.00000000,2543.10000000,2548.12000000,5849.69950000,1751633999999,14909767.89367200,47471,2873.86890000,7325596.58379200,0
1751634000000,2548.11000000,2555.96000000,2522.14000000,2525.85000000,32946.96020000,1751637599999,83585595.40203300,135964,17785.06880000,45140904.15830500,0
1751637600000,2525.85000000,2528.80000000,2498.36000000,2516.85000000,43800.83480000,1751641199999,110119918.21941200,201615,19215.25540000,48320094.34695100,0
1751641200000,2516.84000000,2518.47000000,2498.98000000,2500.52000000,34161.00240000,1751644799999,85568915.36410100,159095,15329.42970000,38404206.24349900,0
1751644800000,2500.52000000,2503.50000000,2474.56000000,2487.51000000,55159.92830000,1751648399999,137122760.65650300,208696,24599.53250000,61163924.05715500,0
1751648400000,2487.51000000,2497.65000000,2486.42000000,2496.56000000,26054.35390000,1751651999999,64953076.57389400,102040,9951.68640000,24810428.79729900,0
1751652000000,2496.56000000,2496.56000000,2480.00000000,2484.28000000,23202.24000000,1751655599999,57718092.44658100,79721,6387.38510000,15888097.04503100,0
1751655600000,2484.28000000,2490.00000000,2474.24000000,2482.58000000,26379.99960000,1751659199999,65460296.02968400,67856,6589.93640000,16349264.92843200,0
1751659200000,2482.57000000,2496.23000000,2481.21000000,2490.29000000,8263.82980000,1751662799999,20583757.72342700,52157,4151.26680000,10338397.43463600,0
1751662800000,2490.29000000,2497.12000000,2487.16000000,2496.90000000,6796.98240000,1751666399999,16939955.84700600,38253,3258.04680000,8119440.64933800,0
1751666400000,2496.90000000,2520.85000000,2495.04000000,2520.39000000,15418.77860000,1751669999999,38708312.21554000,78852,9186.86500000,23060720.07993700,0
1751670000000,2520.39000000,2520.51000000,2504.23000000,2508.04000000,8704.62710000,1751673599999,21871451.27791700,40047,3845.62130000,9662273.77665400,0
1751673600000,2508.04000000,2518.79000000,2506.95000000,2516.76000000,5597.04800000,1751677199999,14072578.59790600,38001,3424.52370000,8612070.90128200,0
1751677200000,2516.77000000,2516.77000000,2506.78000000,2514.18000000,5593.07540000,1751680799999,14048396.97287800,37899,2568.78120000,6452112.23175400,0
1751680800000,2514.19000000,2519.05000000,2498.63000000,2518.79000000,6637.67120000,1751684399999,16661643.31608100,48408,3515.66090000,8832254.55845500,0
1751684400000,2518.80000000,2524.92000000,2515.84000000,2518.24000000,7706.62970000,1751687999999,19422261.43151400,42087,4142.09430000,10438137.64809400,0
1751688000000,2518.24000000,2525.60000000,2512.63000000,2516.25000000,4906.72270000,1751691599999,12356474.82913800,35357,2137.50370000,5384916.98996700,0
1751691600000,2516.26000000,2521.00000000,2513.19000000,2519.57000000,2933.24750000,1751695199999,7383408.35252400,23660,1152.40530000,2900729.59127000,0
1751695200000,2519.58000000,2528.60000000,2517.01000000,2527.33000000,6111.18990000,1751698799999,15420832.79982600,38002,3535.70540000,8921607.95220200,0
1751698800000,2527.33000000,2529.81000000,2519.30000000,2521.31000000,4708.31630000,1751702399999,11885337.27967100,27876,1798.22580000,4539695.33462100,0
1751702400000,2521.32000000,2525.00000000,2509.84000000,2516.09000000,6149.28340000,1751705999999,15480210.05091800,38854,2418.34910000,6087349.63971600,0
1751706000000,2516.10000000,2522.64000000,2508.83000000,2521.63000000,5609.11680000,1751709599999,14107953.88899700,39158,2446.13190000,6152011.76176200,0
1751709600000,2521.63000000,2523.10000000,2517.97000000,2518.34000000,5940.07960000,1751713199999,14971196.49118600,26828,1925.83320000,4854375.02234800,0
1751713200000,2518.34000000,2526.45000000,2517.85000000,2518.11000000,5259.19320000,1751716799999,13269449.81627100,24804,2278.50770000,5750144.91428300,0
1751716800000,2518.11000000,2519.13000000,2510.72000000,2518.27000000,4775.99850000,1751720399999,12011319.70865400,37294,2128.50170000,5353252.53313800,0
1751720400000,2518.28000000,2521.98000000,2512.97000000,2514.42000000,3907.00760000,1751723999999,9835990.24862300,29059,1546.42880000,3893165.94164100,0
1751724000000,2514.42000000,2520.44000000,2511.81000000,2518.45000000,11741.34770000,1751727599999,29551678.95872800,38054,6426.62060000,16180227.77056500,0
1751727600000,2518.46000000,2518.74000000,2505.35000000,2507.67000000,10208.91220000,1751731199999,25649273.79541100,36147,6058.23980000,15221087.59613600,0
1751731200000,2507.67000000,2512.95000000,2491.54000000,2505.65000000,18299.37650000,1751734799999,45772656.56021800,77234,10683.27160000,26724621.85091300,0
1751734800000,2505.66000000,2511.66000000,2496.15000000,2503.60000000,9054.37890000,1751738399999,22666737.35701500,53678,4242.35990000,10619909.33681700,0
1751738400000,2503.60000000,2505.18000000,2492.23000000,2492.85000000,7810.85110000,1751741999999,19501153.03589100,45976,3559.56410000,8885173.95018600,0
